step,heater_power,T_room,T_sensor
0,0.000,20.000,20.000
1,0.000,20.000,20.000
2,0.000,20.000,20.000
3,0.000,20.000,20.000
4,0.000,20.000,20.000
5,0.000,20.000,20.000
6,0.000,20.000,20.000
7,0.000,20.000,20.000
8,0.000,20.000,20.000
9,0.000,20.000,20.000
10,1.000,20.000,20.000
11,1.000,20.200,20.001
12,1.000,20.400,20.004
13,1.000,20.600,20.008
14,1.000,20.800,20.013
15,1.000,21.000,20.020
16,1.000,21.200,20.028
17,1.000,21.400,20.037
18,1.000,21.599,20.047
19,1.000,21.799,20.059
20,1.000,21.999,20.072
21,1.000,22.199,20.086
22,1.000,22.399,20.101
23,1.000,22.598,20.118
24,1.000,22.798,20.136
25,1.000,22.998,20.155
26,1.000,23.198,20.175
27,1.000,23.397,20.197
28,1.000,23.597,20.219
29,1.000,23.797,20.243
30,1.000,23.996,20.268
31,1.000,24.196,20.295
32,1.000,24.395,20.322
33,1.000,24.595,20.350
34,1.000,24.794,20.380
35,1.000,24.994,20.411
36,1.000,25.194,20.443
37,1.000,25.393,20.476
38,1.000,25.592,20.510
39,1.000,25.792,20.545
40,1.000,25.991,20.581
41,1.000,26.191,20.619
42,1.000,26.390,20.657
43,1.000,26.589,20.697
44,1.000,26.789,20.737
45,1.000,26.988,20.779
46,1.000,27.187,20.822
47,1.000,27.387,20.865
48,1.000,27.586,20.910
49,1.000,27.785,20.956
50,1.000,27.984,21.003
51,1.000,28.184,21.051
52,1.000,28.383,21.100
53,1.000,28.582,21.150
54,1.000,28.781,21.200
55,1.000,28.980,21.252
56,1.000,29.179,21.305
57,1.000,29.378,21.359
58,1.000,29.577,21.414
59,1.000,29.777,21.470
60,1.000,29.976,21.526
61,1.000,30.175,21.584
62,1.000,30.374,21.643
63,1.000,30.572,21.702
64,1.000,30.771,21.762
65,1.000,30.970,21.824
66,1.000,31.169,21.886
67,1.000,31.368,21.949
68,1.000,31.567,22.014
69,1.000,31.766,22.079
70,1.000,31.965,22.144
71,1.000,32.163,22.211
72,1.000,32.362,22.279
73,1.000,32.561,22.347
74,1.000,32.760,22.417
75,1.000,32.958,22.487
76,1.000,33.157,22.558
77,1.000,33.356,22.630
78,1.000,33.555,22.703
79,1.000,33.753,22.777
80,1.000,33.952,22.851
81,1.000,34.150,22.927
82,1.000,34.349,23.003
83,1.000,34.548,23.080
84,1.000,34.746,23.157
85,1.000,34.945,23.236
86,1.000,35.143,23.315
87,1.000,35.342,23.396
88,1.000,35.540,23.477
89,1.000,35.739,23.558
90,1.000,35.937,23.641
91,1.000,36.135,23.724
92,1.000,36.334,23.808
93,1.000,36.532,23.893
94,1.000,36.730,23.979
95,1.000,36.929,24.065
96,1.000,37.127,24.152
97,1.000,37.325,24.240
98,1.000,37.524,24.328
99,1.000,37.722,24.418
100,1.000,37.920,24.508
101,1.000,38.118,24.598
102,1.000,38.317,24.690
103,1.000,38.515,24.782
104,1.000,38.713,24.875
105,1.000,38.911,24.969
106,1.000,39.109,25.063
107,1.000,39.307,25.158
108,1.000,39.505,25.253
109,1.000,39.703,25.350
110,1.000,39.901,25.447
111,1.000,40.099,25.544
112,1.000,40.297,25.643
113,1.000,40.495,25.742
114,1.000,40.693,25.841
115,1.000,40.891,25.942
116,1.000,41.089,26.043
117,1.000,41.287,26.144
118,1.000,41.485,26.247
119,1.000,41.683,26.350
120,1.000,41.881,26.453
121,1.000,42.078,26.557
122,1.000,42.276,26.662
123,1.000,42.474,26.768
124,1.000,42.672,26.874
125,1.000,42.869,26.980
126,1.000,43.067,27.087
127,1.000,43.265,27.195
128,1.000,43.462,27.304
129,1.000,43.660,27.413
130,1.000,43.858,27.522
131,1.000,44.055,27.633
132,1.000,44.253,27.743
133,1.000,44.451,27.855
134,1.000,44.648,27.967
135,1.000,44.846,28.079
136,1.000,45.043,28.192
137,1.000,45.241,28.306
138,1.000,45.438,28.420
